trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2025-07-01,2025-07-02T09:00:00,CLIENT,136360.0,130815.0,2291603.0,298699.0,2435107.0,2109566.0,2656126.0,2394441.0,5545.0,1.0423881053396018
2025-07-01,2025-07-02T09:00:00,DII,77978.0,48099.0,125533.0,4023863.0,70.0,18383.0,0.0,0.0,29879.0,1.6211979459032413
2025-07-01,2025-07-02T09:00:00,FII,53195.0,91901.0,3520760.0,1961861.0,407878.0,485234.0,377479.0,351068.0,-38706.0,0.5788293924984494
2025-07-01,2025-07-02T09:00:00,PRO,43165.0,39883.0,613425.0,266898.0,1079475.0,952563.0,888925.0,820237.0,3282.0,1.0822907002983728
