trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-03-27,2026-03-30T09:00:00,CLIENT,287333.0,121797.0,2785579.0,325658.0,2980743.0,2213747.0,2669679.0,2746340.0,165536.0,2.3591139354828115
2026-03-27,2026-03-30T09:00:00,DII,87554.0,16103.0,442661.0,4263847.0,3862.0,27469.0,651.0,0.0,71451.0,5.437123517357014
2026-03-27,2026-03-30T09:00:00,FII,61970.0,341437.0,4135585.0,3212839.0,756766.0,1067058.0,967312.0,658579.0,-279467.0,0.1814976115652375
2026-03-27,2026-03-30T09:00:00,PRO,91005.0,48525.0,941158.0,502639.0,1128572.0,1163458.0,1232301.0,1066813.0,42480.0,1.8754250386398763
