trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2025-08-08,2025-08-11T09:00:00,CLIENT,217668.0,93510.0,2531465.0,267153.0,2604472.0,1358824.0,2445548.0,1850137.0,124158.0,2.327751042669233
2025-08-08,2025-08-11T09:00:00,DII,66935.0,25435.0,155599.0,4141371.0,12070.0,32394.0,0.0,0.0,41500.0,2.6316099862394338
2025-08-08,2025-08-11T09:00:00,FII,18122.0,200792.0,3360738.0,2100292.0,360340.0,480816.0,451153.0,197681.0,-182670.0,0.09025259970516754
2025-08-08,2025-08-11T09:00:00,PRO,52876.0,35864.0,726794.0,265780.0,975805.0,791209.0,1055986.0,615425.0,17012.0,1.4743475351327235
