trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-06-02,2026-06-03T09:00:00,CLIENT,269410.0,82885.0,3166657.0,228879.0,1988574.0,1425709.0,1696634.0,2149721.0,186525.0,3.2504071906858902
2026-06-02,2026-06-03T09:00:00,DII,65965.0,33084.0,334878.0,4508321.0,7251.0,23860.0,30.0,0.0,32881.0,1.9938641034941362
2026-06-02,2026-06-03T09:00:00,FII,24538.0,254634.0,4027528.0,3292711.0,382230.0,795091.0,662013.0,299989.0,-230096.0,0.09636576419488364
2026-06-02,2026-06-03T09:00:00,PRO,45586.0,34896.0,859903.0,359055.0,655550.0,780463.0,674928.0,575412.0,10690.0,1.306338835396607
