trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-07-31,2026-08-03T09:00:00,CLIENT,189825.0,61901.0,3074728.0,227207.0,2558236.0,2962505.0,2534120.0,3650125.0,127924.0,3.066590200481414
2026-07-31,2026-08-03T09:00:00,DII,65228.0,20021.0,275335.0,4215043.0,4575.0,52790.0,80.0,90.0,45207.0,3.257979121921982
2026-07-31,2026-08-03T09:00:00,FII,24761.0,197874.0,3504120.0,2859657.0,452291.0,908013.0,636816.0,454243.0,-173113.0,0.12513518703821624
2026-07-31,2026-08-03T09:00:00,PRO,25720.0,25738.0,811664.0,363940.0,892107.0,1286439.0,736193.0,1105289.0,-18.0,0.9993006449607584
