trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2025-11-17,2025-11-18T09:00:00,CLIENT,193086.0,87158.0,2977915.0,339055.0,2767801.0,2941862.0,2806773.0,3226034.0,105928.0,2.215356020101425
2025-11-17,2025-11-18T09:00:00,DII,91204.0,37524.0,210192.0,4677748.0,2381.0,24427.0,0.0,0.0,53680.0,2.430551113953736
2025-11-17,2025-11-18T09:00:00,FII,26702.0,195987.0,3644935.0,2347324.0,563586.0,766693.0,532151.0,535731.0,-169285.0,0.13624373045150953
2025-11-17,2025-11-18T09:00:00,PRO,47270.0,37593.0,913265.0,382180.0,1004093.0,1205078.0,998937.0,1176295.0,9677.0,1.2574149442715399
