trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-07-13,2026-07-14T09:00:00,CLIENT,228874.0,62043.0,3136160.0,276185.0,2916605.0,3534672.0,2897584.0,4141090.0,166831.0,3.6889576583982078
2026-07-13,2026-07-14T09:00:00,DII,78213.0,10880.0,339787.0,4278776.0,6036.0,32812.0,915.0,304.0,67333.0,7.188694852941176
2026-07-13,2026-07-14T09:00:00,FII,32009.0,287122.0,3833241.0,3205416.0,507535.0,1075158.0,683709.0,620999.0,-255113.0,0.1114822270672397
2026-07-13,2026-07-14T09:00:00,PRO,50458.0,29509.0,922639.0,471450.0,1002009.0,1470340.0,849976.0,1350590.0,20949.0,1.7099190077603443
