trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2025-09-18,2025-09-19T09:00:00,CLIENT,189243.0,80314.0,2612825.0,323006.0,2157714.0,2298331.0,2307126.0,2712851.0,108929.0,2.3562890654182334
2025-09-18,2025-09-19T09:00:00,DII,83380.0,39971.0,209067.0,4256764.0,963.0,41245.0,0.0,0.0,43409.0,2.086012358960246
2025-09-18,2025-09-19T09:00:00,FII,27813.0,171472.0,3444136.0,2115165.0,431295.0,616493.0,419058.0,340222.0,-143659.0,0.16220140897639265
2025-09-18,2025-09-19T09:00:00,PRO,29876.0,38555.0,755762.0,326855.0,949095.0,1105542.0,812883.0,1008537.0,-8679.0,0.7748930099857346
