trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2025-10-21,2025-10-22T09:00:00,CLIENT,182701.0,95873.0,2685652.0,337514.0,2003334.0,1924986.0,2010888.0,2256157.0,86828.0,1.905656441333848
2025-10-21,2025-10-22T09:00:00,DII,78882.0,40989.0,234191.0,4268421.0,11190.0,48720.0,0.0,0.0,37893.0,1.9244675400717266
2025-10-21,2025-10-22T09:00:00,FII,41725.0,178754.0,3488325.0,2265552.0,427163.0,603637.0,387691.0,358611.0,-137029.0,0.233421350011748
2025-10-21,2025-10-22T09:00:00,PRO,52745.0,40437.0,893180.0,429861.0,711233.0,874096.0,754342.0,836671.0,12308.0,1.3043747063333087
