trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-02-25,2026-02-26T09:00:00,CLIENT,139146.0,66086.0,2731514.0,280095.0,2244383.0,1616533.0,2166967.0,1981903.0,73060.0,2.105529158974669
2026-02-25,2026-02-26T09:00:00,DII,97028.0,45293.0,159424.0,4228320.0,1045.0,52687.0,0.0,0.0,51735.0,2.14222948358466
2026-02-25,2026-02-26T09:00:00,FII,37982.0,142463.0,3931889.0,2682197.0,411347.0,659292.0,479995.0,366800.0,-104481.0,0.26660957581968653
2026-02-25,2026-02-26T09:00:00,PRO,14050.0,34364.0,656076.0,288291.0,786091.0,766075.0,795903.0,745883.0,-20314.0,0.40885810732161565
