trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-03-13,2026-03-16T09:00:00,CLIENT,293089.0,136811.0,2866531.0,355024.0,3340427.0,1985818.0,2970683.0,2534319.0,156278.0,2.142291190035889
2026-03-13,2026-03-16T09:00:00,DII,80404.0,19992.0,271017.0,4421746.0,275.0,22252.0,1559.0,651.0,60412.0,4.0218087234893956
2026-03-13,2026-03-16T09:00:00,FII,32283.0,292823.0,4061906.0,2882781.0,695459.0,1049392.0,956015.0,593868.0,-260540.0,0.11024748738999328
2026-03-13,2026-03-16T09:00:00,PRO,96307.0,52457.0,877112.0,417015.0,1307453.0,962535.0,1415357.0,891159.0,43850.0,1.8359227557809252
