trade_date,avail_ts,client_type,future_index_long,future_index_short,future_stock_long,future_stock_short,option_index_call_long,option_index_put_long,option_index_call_short,option_index_put_short,net_index_futures,index_futures_ls_ratio
2026-04-06,2026-04-07T09:00:00,CLIENT,266704.0,88614.0,2567517.0,176572.0,2451986.0,2577949.0,2292679.0,2939748.0,178090.0,3.009727582549033
2026-04-06,2026-04-07T09:00:00,DII,95606.0,19851.0,318784.0,4209363.0,4978.0,31410.0,1244.0,604.0,75755.0,4.8161805450607025
2026-04-06,2026-04-07T09:00:00,FII,72568.0,341030.0,4186991.0,3115883.0,444173.0,864956.0,676826.0,547028.0,-268462.0,0.21279066357798435
2026-04-06,2026-04-07T09:00:00,PRO,54259.0,39642.0,746608.0,318082.0,1018050.0,1152817.0,948438.0,1139752.0,14617.0,1.3687250895514858
